t1    1    1     0.000     0.728   131.254 16725504 0 0 1 50
t1    1    2     0.000     1.455   128.343 16739328 0 0 1 49
t1    1    3     0.000     2.183   125.433 16753152 0 0 1 48
t1    1    4     0.000     2.910   122.522 16766976 0 0 1 47
t1    1    5     0.000     3.638   119.612 15793920 0 0 1 46
t1    1    6     0.000     4.366   116.702 12254976 0 0 1 45
t1    1    7     0.000     5.093   113.791 8716032 0 0 1 44
t1    1    8     0.000     5.821   110.881 5177088 0 0 1 43
t1    1    9     0.000     6.548   107.970 1638144 0 0 1 42
t1    1   10     0.000     7.276   105.060 65310 0 0 1 41
t1    1   11     0.000     8.004   102.149 65363 0 0 1 40
t1    1   12     0.000     8.731    99.239 65417 0 0 1 39
t1    1   13     0.000     9.459    96.329 65471 0 0 1 38
t1    1   14     0.000    10.186    93.418 65525 0 0 1 37
t1    1   15     0.000    10.914    90.508 54271 0 0 1 36
t1    1   16     0.000    11.642    87.597 40447 0 0 1 35
t1    1   17     0.000    12.369    84.687 26623 0 0 1 34
t1    1   18     0.000    13.097    81.776 12799 0 0 1 33
t1    1   19     0.000    13.825    78.866 327935 0 0 1 32
t1    1   20     0.000    14.552    75.956 3866879 0 0 1 31
t1    1   21     0.000    15.280    73.045 7405823 0 0 1 30
t1    1   22     0.000    16.007    70.135 10944767 0 0 1 29
t1    1   23     0.000    16.735    67.224 14483711 0 0 1 28
t1    1   24     0.000    17.463    64.314 16711915 0 0 1 27
t1    1   25     0.000    18.190    61.403 16711861 0 0 1 26
t1    1   26     0.000    18.918    58.493 16711807 0 0 1 25
t1    1   27     0.000    19.645    55.583 16711753 0 0 1 24
t1    1   28     0.000    20.373    52.672 16711699 0 0 1 23
t1    1   29     0.000    21.101    49.762 16720640 0 0 1 22
t1    1   30     0.000    21.828    46.851 16734464 0 0 1 21
t1    1   31     0.000    22.556    43.941 16748288 0 0 1 20
t1    1   32     0.000    23.283    41.030 16761856 0 0 1 19
t1    1   33     0.000    24.011    38.120 16775680 0 0 1 18
t1    1   34     0.000    24.739    35.210 13565696 0 0 1 17
t1    1   35     0.000    25.466    32.299 10026752 0 0 1 16
t1    1   36     0.000    26.194    29.389 6487808 0 0 1 15
t1    1   37     0.000    26.921    26.478 2948864 0 0 1 14
t1    1   38     0.000    27.649    23.568 65290 0 0 1 13
t1    1   39     0.000    28.377    20.657 65344 0 0 1 12
t1    1   40     0.000    29.104    17.747 65398 0 0 1 11
t1    1   41     0.000    29.832    14.837 65452 0 0 1 10
t1    1   42     0.000    30.559    11.926 65506 0 0 1 9
t1    1   43     0.000    31.287     9.016 59135 0 0 1 8
t1    1   44     0.000    32.015     6.105 45311 0 0 1 7
t1    1   45     0.000    32.742     3.195 31487 0 0 1 6
t1    1   46     0.000    33.470     0.284 17663 0 0 1 5
t1    1   47     0.000    34.198    -2.626 3839 0 0 1 4
t1    1   48     0.000    34.925    -5.536 2621695 0 0 1 3
t1    1   49     0.000    35.653    -8.447 6160639 0 0 1 2
t1    1   50     0.000    36.380   -11.357 9699583 0 0 1 1
t1    2    1     0.142     0.714   131.254 16725248 0 0 1 51
t1    2    2     0.284     1.427   128.343 16738560 0 0 1 52
t1    2    3     0.426     2.141   125.433 16752128 0 0 1 53
t1    2    4     0.568     2.855   122.522 16765696 0 0 1 54
t1    2    5     0.710     3.568   119.612 16187136 0 0 1 55
t1    2    6     0.852     4.282   116.702 12779264 0 0 1 56
t1    2    7     0.994     4.995   113.791 9305856 0 0 1 57
t1    2    8     1.136     5.709   110.881 5832448 0 0 1 58
t1    2    9     1.278     6.423   107.970 2359040 0 0 1 59
t1    2   10     1.419     7.136   105.060 65297 0 0 1 60
t1    2   11     1.561     7.850   102.149 65350 0 0 1 61
t1    2   12     1.703     8.564    99.239 65403 0 0 1 62
t1    2   13     1.845     9.277    96.329 65455 0 0 1 63
t1    2   14     1.987     9.991    93.418 65508 0 0 1 64
t1    2   15     2.129    10.704    90.508 58879 0 0 1 65
t1    2   16     2.271    11.418    87.597 45311 0 0 1 66
t1    2   17     2.413    12.132    84.687 31999 0 0 1 67
t1    2   18     2.555    12.845    81.776 18431 0 0 1 68
t1    2   19     2.697    13.559    78.866 4863 0 0 1 69
t1    2   20     2.839    14.273    75.956 2294015 0 0 1 70
t1    2   21     2.981    14.986    73.045 5701887 0 0 1 71
