     1     20      1  16711935 # 1  t1    1    1     0.000     0.728    50.755 16711935 0 0 1 20

     1     19      1     65280 # 2  t1    1    2     0.000     1.455    47.845 65280 0 0 1 19

     1     18      1     39935 # 3  t1    1    3     0.000     2.183    44.934 39935 0 0 1 18

     1     17      1   6684927 # 4  t1    1    4     0.000     2.910    42.024 6684927 0 0 1 17

     1     16      1  16711905 # 5  t1    1    5     0.000     3.638    39.113 16711905 0 0 1 16

     1     15      1  16711791 # 6  t1    1    6     0.000     4.366    36.203 16711791 0 0 1 15

     1     14      1  16711741 # 7  t1    1    7     0.000     5.093    33.293 16711741 0 0 1 14

     1     13      1  16711756 # 8  t1    1    8     0.000     5.821    30.382 16711756 0 0 1 13

     1     12      1  16711831 # 9  t1    1    9     0.000     6.548    27.472 16711831 0 0 1 12

     1     11      1  14876927 # 10  t1    1   10     0.000     7.276    24.561 14876927 0 0 1 11

     1     10      1   2883839 # 11  t1    1   11     0.000     8.004    21.651 2883839 0 0 1 10

     1      9      1     46847 # 12  t1    1   12     0.000     8.731    18.741 46847 0 0 1 9

     1      8      1     65349 # 13  t1    1   13     0.000     9.459    15.830 65349 0 0 1 8

     1      7      1  14155520 # 14  t1    1   14     0.000    10.186    12.920 14155520 0 0 1 7

     1      6      1  16711680 # 15  t1    1   15     0.000    10.914    10.009 16711680 0 0 1 6

     1      5      1  14089984 # 16  t1    1   16     0.000    11.642     7.099 14089984 0 0 1 5

     1      4      1     65351 # 17  t1    1   17     0.000    12.369     4.188 65351 0 0 1 4

     1      3      1     45055 # 18  t1    1   18     0.000    13.097     1.278 45055 0 0 1 3

     1      2      1   3670271 # 19  t1    1   19     0.000    13.825    -1.632 3670271 0 0 1 2

     1      1      1  16122111 # 20  t1    1   20     0.000    14.552    -4.543 16122111 0 0 1 1

     1     21      1     65280 # 21  t1    2    1     0.364     0.630    50.755 65280 0 0 1 21

     1     22      1  16711935 # 22  t1    2    2     0.728     1.260    47.845 16711935 0 0 1 22

     1     23      1   1441536 # 23  t1    2    3     1.091     1.890    44.934 1441536 0 0 1 23

     1     24      1     44287 # 24  t1    2    4     1.455     2.521    42.024 44287 0 0 1 24

