#    workspaces/2/AA12+SEAN33_d_3.dat
t1    2    1     0.278     0.672   168.820 16713041 0 0 2 65
t1    6    1     0.577     0.443   168.820 16713041 0 0 4 65
t1   10    1     0.721     0.095   168.820 16713041 0 0 6 65
t1   15    1     0.630    -0.364   168.820 16713041 0 0 9 64
t1   19    1     0.364    -0.630   168.820 16713041 0 0 11 64
t1    2    1     0.278     0.672   168.820 16713041 0 0 2 65
t1    6    1     0.577     0.443   168.820 16713041 0 0 4 65
t1   10    1     0.721     0.095   168.820 16713041 0 0 6 65
t1   15    1     0.630    -0.364   168.820 16713041 0 0 9 64
t1   19    1     0.364    -0.630   168.820 16713041 0 0 11 64
t1    3    2     0.728     1.260   165.909 16713060 0 0 3 63
t1    7    2     1.260     0.728   165.909 16713060 0 0 5 63
t1   11    2     1.455     0.000   165.909 16713060 0 0 7 63
t1   16    2     1.154    -0.886   165.909 16713060 0 0 9 66
t1   20    2     0.557    -1.344   165.909 16777215 0 0 11 66
t1    4    3     1.329     1.732   162.999 16713078 0 0 3 67
t1    8    3     2.017     0.835   162.999 16777215 0 0 5 67
t1   12    3     2.164    -0.285   162.999 16777215 0 0 7 67
t1   17    3     1.543    -1.543   162.999 16713078 0 0 10 62
t1   21    3     0.565    -2.108   162.999 16713078 0 0 12 62
t1   47    3     0.000     2.183   162.999 16713078 0 0 1 62
t1    4    3     1.329     1.732   162.999 16713078 0 0 3 67
t1    8    3     2.017     0.835   162.999 16713078 0 0 5 67
t1   12    3     2.164    -0.285   162.999 16713078 0 0 7 67
t1   17    3     1.543    -1.543   162.999 16713078 0 0 10 62
t1   21    3     0.565    -2.108   162.999 16713078 0 0 12 62
t1   47    3     0.000     2.183   162.999 16713078 0 0 1 62
t1    5    4     2.058     2.058   160.088 16713097 0 0 4 61
t1    9    4     2.811     0.753   160.088 16713097 0 0 6 61
t1   13    4     2.811    -0.753   160.088 16777215 0 0 8 61
t1   18    4     1.772    -2.309   160.088 16713097 0 0 10 68
t1   22    4     0.380    -2.886   160.088 16713097 0 0 12 68
t1   48    4     0.380     2.886   160.088 16713097 0 0 1 68
t1    6    5     2.886     2.215   157.178 16713115 0 0 4 69
t1   10    5     3.607     0.475   157.178 16713115 0 0 6 69
t1   14    5     3.361    -1.392   157.178 16713115 0 0 8 69
t1   19    5     1.819    -3.151   157.178 16713115 0 0 11 60
t1    1    5     0.942     3.514   157.178 16713115 0 0 2 60
t1    6    5     2.886     2.215   157.178 16713115 0 0 4 69
t1   10    5     3.607     0.475   157.178 16713115 0 0 6 69
t1   14    5     3.361    -1.392   157.178 16777215 0 0 8 69
t1   19    5     1.819    -3.151   157.178 16713115 0 0 11 60
t1    1    5     0.942     3.514   157.178 16713115 0 0 2 60
t1    7    6     3.781     2.183   154.267 16713133 0 0 5 59
t1   11    6     4.366     0.000   154.267 16713133 0 0 7 59
t1   15    6     3.781    -2.183   154.267 16713133 0 0 9 59
t1   20    6     1.671    -4.033   154.267 16713133 0 0 11 70
t1    2    6     1.671     4.033   154.267 16713133 0 0 2 70
t1    8    7     4.706     1.949   151.357 16713152 0 0 5 71
t1   12    7     5.050    -0.665   151.357 16713152 0 0 7 71
t1   16    7     4.041    -3.101   151.357 16713152 0 0 9 71
t1   21    7     1.318    -4.920   151.357 16713152 0 0 12 58
t1   47    7     0.000     5.093   151.357 16713152 0 0 1 58
t1    3    7     2.547     4.411   151.357 16777215 0 0 3 58
t1    8    7     4.706     1.949   151.357 16713152 0 0 5 71
t1   12    7     5.050    -0.665   151.357 16777215 0 0 7 71
t1   16    7     4.041    -3.101   151.357 16713152 0 0 9 71
t1   21    7     1.318    -4.920   151.357 16713152 0 0 12 58
t1   47    7     0.000     5.093   151.357 16713152 0 0 1 58
t1    3    7     2.547     4.411   151.357 16713152 0 0 3 58
t1    9    8     5.623     1.507   148.447 16713170 0 0 6 57
t1   13    8     5.623    -1.507   148.447 16713170 0 0 8 57
t1   17    8     4.116    -4.116   148.447 16713170 0 0 10 57
t1   22    8     0.760    -5.771   148.447 16713170 0 0 12 72
t1   48    8     0.760     5.771   148.447 16713170 0 0 1 72
t1    4    8     3.544     4.618   148.447 16713170 0 0 3 72
t1   10    9     6.492     0.855   145.536 16713188 0 0 6 73
t1   14    9     6.050    -2.506   145.536 16713188 0 0 8 73
t1   18    9     3.986    -5.195   145.536 16713188 0 0 10 73
t1    1    9     1.695     6.325   145.536 16713188 0 0 2 56
t1    5    9     4.630     4.630   145.536 16713188 0 0 4 56
t1   10    9     6.492     0.855   145.536 16713188 0 0 6 73
t1   14    9     6.050    -2.506   145.536 16713188 0 0 8 73
t1   18    9     3.986    -5.195   145.536 16777215 0 0 10 73
t1    1    9     1.695     6.325   145.536 16713188 0 0 2 56
t1    5    9     4.630     4.630   145.536 16713188 0 0 4 56
t1   11   10     7.276     0.000   142.626 16713207 0 0 7 55
t1   15   10     6.301    -3.638   142.626 16713207 0 0 9 55
t1   19   10     3.638    -6.301   142.626 16777215 0 0 11 55
t1    2   10     2.784     6.722   142.626 16713207 0 0 2 74
t1    6   10     5.772     4.429   142.626 16713207 0 0 4 74
t1   12   11     7.935    -1.045   139.715 16058111 0 0 7 75
t1   16   11     6.350    -4.872   139.715 16058111 0 0 9 75
t1   20   11     3.063    -7.394   139.715 16058111 0 0 11 75
t1    3   11     4.002     6.931   139.715 16058111 0 0 3 54
t1    7   11     6.931     4.002   139.715 16058111 0 0 5 54
t1   12   11     7.935    -1.045   139.715 16777215 0 0 7 75
t1   16   11     6.350    -4.872   139.715 16058111 0 0 9 75
t1   20   11     3.063    -7.394   139.715 16058111 0 0 11 75
t1    3   11     4.002     6.931   139.715 16058111 0 0 3 54
t1    7   11     6.931     4.002   139.715 16058111 0 0 5 54
t1   13   12     8.434    -2.260   136.805 14878463 0 0 8 53
t1   17   12     6.174    -6.174   136.805 14878463 0 0 10 53
t1   21   12     2.260    -8.434   136.805 14878463 0 0 12 53
t1   47   12     0.000     8.731   136.805 14878463 0 0 1 53
t1    4   12     5.315     6.927   136.805 14878463 0 0 3 76
t1    8   12     8.067     3.341   136.805 16777215 0 0 5 76
t1   14   13     8.739    -3.620   133.894 13633279 0 0 8 77
t1   18   13     5.758    -7.504   133.894 13633279 0 0 10 77
t1   22   13     1.235    -9.378   133.894 13633279 0 0 12 77
t1   48   13     1.235     9.378   133.894 13633279 0 0 1 77
t1    5   13     6.688     6.688   133.894 13633279 0 0 4 52
t1    9   13     9.137     2.448   133.894 13633279 0 0 6 52
t1   14   13     8.739    -3.620   133.894 13633279 0 0 8 77
t1   18   13     5.758    -7.504   133.894 13633279 0 0 10 77
t1   22   13     1.235    -9.378   133.894 13633279 0 0 12 77
t1   48   13     1.235     9.378   133.894 13633279 0 0 1 77
t1    5   13     6.688     6.688   133.894 13633279 0 0 4 52
t1    9   13     9.137     2.448   133.894 13633279 0 0 6 52
t1   15   14     8.822    -5.093   130.984 12453631 0 0 9 51
t1   19   14     5.093    -8.822   130.984 12453631 0 0 11 51
t1    1   14     2.636     9.839   130.984 12453631 0 0 2 51
t1    6   14     8.081     6.201   130.984 12453631 0 0 4 78
t1   10   14    10.099     1.330   130.984 12453631 0 0 6 78
t1   16   15     8.659    -6.644   128.074 11273983 0 0 9 79
t1   20   15     4.177   -10.083   128.074 11273983 0 0 11 79
t1    2   15     4.177    10.083   128.074 11273983 0 0 2 79
t1    7   15     9.452     5.457   128.074 11273983 0 0 5 50
t1   11   15    10.914     0.000   128.074 11273983 0 0 7 50
t1   16   15     8.659    -6.644   128.074 11273983 0 0 9 79
t1   20   15     4.177   -10.083   128.074 16777215 0 0 11 79
t1    2   15     4.177    10.083   128.074 11273983 0 0 2 79
t1    7   15     9.452     5.457   128.074 11273983 0 0 5 50
t1   11   15    10.914     0.000   128.074 11273983 0 0 7 50
t1   17   16     8.232    -8.232   125.163 10028799 0 0 10 49
t1   21   16     3.013   -11.245   125.163 10028799 0 0 12 49
t1   47   16     0.000    11.642   125.163 10028799 0 0 1 49
t1    3   16     5.821    10.082   125.163 10028799 0 0 3 49
t1    8   16    10.756     4.455   125.163 10028799 0 0 5 80
t1   12   16    11.542    -1.520   125.163 10028799 0 0 7 80
t1   18   17     7.530    -9.813   122.253 8849151 0 0 10 81
t1   22   17     1.615   -12.263   122.253 16777215 0 0 12 81
t1   48   17     1.615    12.263   122.253 8849151 0 0 1 81
t1    4   17     7.530     9.813   122.253 8849151 0 0 3 81
t1    9   17    11.948     3.201   122.253 8849151 0 0 6 48
t1   13   17    11.948    -3.201   122.253 8849151 0 0 8 48
t1   18   17     7.530    -9.813   122.253 8849151 0 0 10 81
t1   22   17     1.615   -12.263   122.253 8849151 0 0 12 81
t1   48   17     1.615    12.263   122.253 8849151 0 0 1 81
t1    4   17     7.530     9.813   122.253 8849151 0 0 3 81
t1    9   17    11.948     3.201   122.253 8849151 0 0 6 48
t1   13   17    11.948    -3.201   122.253 16777215 0 0 8 48
