#    ../targets/2/AA3.dat
#    Col 1: Your TARGET_MODEL_NAME
#    Col 2: Strand number.
#    Col 3: Nutcracker Pixel#
#    Col 4: X location in world coordinates
#    Col 5: Y location in world coordinates
#    Col 6: Z location in world coordinates
#    Col 7: User string
#    Col 8: User pixel
# 
AA3   6   6   4.321   0.621  25.470 0     2    41 f AA3
AA3   6   7   5.041   0.725  22.560 0     2    40 f AA3
AA3   6   8   5.762   0.828  19.649 0     2    39 f AA3
AA3   6   9   6.482   0.932  16.739 0     2    38 f AA3
AA3   6  10   7.202   1.035  13.828 0     2    37 f AA3
AA3   6  11   7.922   1.139  10.918 0     2    36 f AA3
AA3   6  12   8.642   1.243   8.007 0     2    35 f AA3
AA3   6  13   9.363   1.346   5.097 0     2    34 f AA3
AA3   6  14  10.083   1.450   2.187 0     2    33 f AA3
AA3   6  15  10.803   1.553  -0.724 0     2    32 f AA3
AA3   6  16  11.523   1.657  -3.634 0     2    31 f AA3

AA3   7   1   0.720  -0.104  40.022 0     2    47 f AA3
AA3   7   2   1.440  -0.207  37.112 0     2    48 f AA3
AA3   7   3   2.161  -0.311  34.201 0     2    49 f AA3
AA3   7   4   2.881  -0.414  31.291 0     2    50 f AA3
AA3   7   5   3.601  -0.518  28.380 0     3     1 f AA3
AA3   7   6   4.321  -0.621  25.470 0     3     2 f AA3
AA3   7   7   5.041  -0.725  22.560 0     3     3 f AA3
AA3   7   8   5.762  -0.828  19.649 0     3     4 f AA3
AA3   7   9   6.482  -0.932  16.739 0     3     5 f AA3
AA3   7  10   7.202  -1.035  13.828 0     3     6 f AA3
AA3   7  11   7.922  -1.139  10.918 0     3     7 f AA3
AA3   7  12   8.642  -1.243   8.007 0     3     8 f AA3
AA3   7  13   9.363  -1.346   5.097 0     3     9 f AA3
AA3   7  14  10.083  -1.450   2.187 0     3    10 f AA3
AA3   7  15  10.803  -1.553  -0.724 0     3    11 f AA3
AA3   7  16  11.523  -1.657  -3.634 0     3    12 f AA3

AA3   8   1   0.662  -0.302  40.022 0     3    13 f AA3
AA3   8   2   1.324  -0.605  37.112 0     3    14 f AA3
AA3   8   3   1.986  -0.907  34.201 0     3    15 f AA3
AA3   8   4   2.647  -1.209  31.291 0     3    16 f AA3
AA3   8   5   3.309  -1.511  28.380 0     3    17 f AA3
AA3   8   6   3.971  -1.814  25.470 0     3    18 f AA3
AA3   8   7   4.633  -2.116  22.560 0     3    19 f AA3
AA3   8   8   5.295  -2.418  19.649 0     3    20 f AA3
AA3   8   9   5.957  -2.720  16.739 0     3    21 f AA3
AA3   8  10   6.619  -3.023  13.828 0     3    22 f AA3
AA3   8  11   7.280  -3.325  10.918 0     3    23 f AA3
AA3   8  12   7.942  -3.627   8.007 0     3    24 f AA3
AA3   8  13   8.604  -3.929   5.097 0     3    25 f AA3
AA3   8  14   9.266  -4.232   2.187 0     3    26 f AA3
AA3   8  15   9.928  -4.534  -0.724 0     3    27 f AA3
AA3   8  16  10.590  -4.836  -3.634 0     3    28 f AA3

AA3   9   1   0.550  -0.476  40.022 0     3    44 f AA3
AA3   9   2   1.100  -0.953  37.112 0     3    43 f AA3
AA3   9   3   1.650  -1.429  34.201 0     3    42 f AA3
AA3   9   4   2.200  -1.906  31.291 0     3    41 f AA3
AA3   9   5   2.749  -2.382  28.380 0     3    40 f AA3
AA3   9   6   3.299  -2.859  25.470 0     3    39 f AA3
AA3   9   7   3.849  -3.335  22.560 0     3    38 f AA3
AA3   9   8   4.399  -3.812  19.649 0     3    37 f AA3
AA3   9   9   4.949  -4.288  16.739 0     3    36 f AA3
AA3   9  10   5.499  -4.765  13.828 0     3    35 f AA3
AA3   9  11   6.049  -5.241  10.918 0     3    34 f AA3
